
2024/08/29 (20:08:16) | ===> btop++ v.1.3.2
2024/08/29 (20:08:16) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/08/29 (20:08:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/29 (20:08:48) | ===> btop++ v.1.3.2
2024/08/29 (20:08:48) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/08/29 (20:08:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/29 (20:08:58) | ===> btop++ v.1.3.2
2024/08/29 (20:08:58) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/08/29 (20:08:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/29 (20:08:59) | ===> btop++ v.1.3.2
2024/08/29 (20:08:59) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/08/29 (20:08:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/29 (20:10:32) | ===> btop++ v.1.3.2
2024/08/29 (20:10:32) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/08/29 (20:10:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/29 (20:46:34) | ===> btop++ v.1.3.2
2024/08/29 (20:46:34) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/08/29 (20:46:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/29 (20:47:25) | ===> btop++ v.1.3.2
2024/08/29 (20:47:25) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/08/29 (20:47:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/29 (20:47:36) | ===> btop++ v.1.3.2
2024/08/29 (20:47:36) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/08/29 (20:47:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
